Protein	Target Amino Acid	No. of Peptides	No. of Peptides w/ Target Amino Acid	Total No. of Amino Acids	No. of Target Amino Acid
MYC	C	30	9	439	10
PO5F1	C	18	5	317	1
KLF4	C	32	9	360	9
SOX2	C	19	1	513	14
